Trace
Swept SA
A.14.12,N9010A
4405200000,-65.6536636352539
4408900000,-64.7247467041016
4412600000,-64.6887741088867
4416300000,-65.6486434936523
4420000000,-65.4304122924805
4423700000,-64.9570693969727
4427400000,-65.6046752929688
4431100000,-64.4934997558594
4434800000,-64.5228500366211
4438500000,-64.2384719848633
4442200000,-65.0227813720703
4445900000,-64.7937850952148
4449600000,-65.3489990234375
4453300000,-65.2671966552734
4457000000,-65.4065246582031
4460700000,-65.2437973022461
4464400000,-63.8462829589844
4468100000,-65.8656616210938
4471800000,-65.678596496582
4475500000,-65.6437454223633
4479200000,-64.9386291503906
4482900000,-66.0165557861328
4486600000,-65.3745574951172
4490300000,-65.9497909545898
4494000000,-65.3585891723633
4497700000,-65.2178268432617
4501400000,-65.5886535644531
4505100000,-65.773551940918
4508800000,-65.5697479248047
4512500000,-65.9626235961914
4516200000,-65.1971664428711
4519900000,-65.3953704833984
4523600000,-65.4465026855469
4527300000,-65.3484497070313
4531000000,-64.7070922851563
4534700000,-64.7631912231445
4538400000,-65.9474258422852
4542100000,-66.2725982666016
4545800000,-65.4276657104492
4549500000,-65.2875366210938
4553200000,-65.3781814575195
4556900000,-66.1309204101563
4560600000,-65.793830871582
4564300000,-65.9234237670898
4568000000,-65.8009338378906
4571700000,-65.6916809082031
4575400000,-65.6573791503906
4579100000,-65.8495330810547
4582800000,-65.4998626708984
4586500000,-65.9087371826172
4590200000,-65.8714981079102
4593900000,-65.807373046875
4597600000,-66.107307434082
4601300000,-65.5524291992188
4605000000,-65.2453079223633
4608700000,-65.9208831787109
4612400000,-65.225715637207
4616100000,-66.2267837524414
4619800000,-65.7402496337891
4623500000,-65.5073623657227
4627200000,-64.9878387451172
4630900000,-66.0367660522461
4634600000,-64.1795806884766
4638300000,-65.9126434326172
4642000000,-65.2314376831055
4645700000,-64.5187149047852
4649400000,-65.5902481079102
4653100000,-64.994384765625
4656800000,-65.4713592529297
4660500000,-64.7770080566406
4664200000,-65.350341796875
4667900000,-65.3562240600586
4671600000,-65.0653533935547
4675300000,-65.7753829956055
4679000000,-65.4395141601563
4682700000,-64.8707580566406
4686400000,-65.2530059814453
4690100000,-63.817024230957
4693800000,-63.6524810791016
4697500000,-65.7229614257813
4701200000,-64.5140762329102
4704900000,-63.9827156066895
4708600000,-64.9030227661133
